PUBLIC_API_KEY,INDUSTRY_BACK,INDUSTRY_FRONT,HQ_COUNTRY
eb3fdba4-7b9b-4c5e-9a81-7ed2918ff46e,Media & Publishers,Media & Publishers,France
49af23d9-0cad-4d42-8adc-744791443345,Services,Services,Spain
e30f9a7e-1068-4cbe-ac99-41a618d38f48,Gaming / Sport,Sport,Spain
f921ddae-7bbc-4132-a9dd-04683bb89c2d,Media & Publishers,Media & Publishers,France
e1ac7e0c-53a5-4663-ac8a-ce98545817ec,Media & Publishers,Media & Publishers,
5f67fa3a-b292-4bd2-b6e0-52257adc3a3b,Services,Services,Belgium
8f7daf45-489f-49e4-89c8-5f9a296b275c,Services,Services,France
7725cda3-efd1-440b-8cc4-f80972acee43,Gaming / Sport,Sport,France
da552ba1-4bf9-42e7-befa-6c7f389f1b65,Gaming / Sport,Gaming,France
29b2ad43-be6b-441a-9324-038b9268c9b6,Beauty / Cosmetics,Beauty,France
1d8ae790-18a6-4c22-b3a2-8f556c22a40a,Food / Beverage / Consumer Staples,Consumer Staples,Switzerland
c41a88a3-3c03-4c4e-a439-6a9ae91b16c2,Construction / Real Estate,Real Estate,France
ceb0b1ff-fd81-4c1f-a089-52a29d41ed35,High Tech / Telecom,High Tech,France
c1c8a813-7bad-49d8-86e3-f93dd06f8801,Media & Publishers,Media & Publishers,France
0ebd917c-1cf8-4c05-9ace-58d19f9e686c,Services,Services,France
03c24551-d648-4df2-98f9-2ed3dd7b05a8,Media & Publishers,Media & Publishers,Croatia
a2d1c22a-6751-421b-b54a-07f0be354289,Other,Other,France
ccacda9b-5149-43c0-bdb1-f7dd33c0238f,Public Sector / Charity / Education,Education,
27433fae-8ff9-4a87-a579-ccc8df989c27,Services,Services,France
bd95e808-e23a-464f-bc35-db5a9d5979f7,Construction / Real Estate,Real Estate,France
f5344817-d97f-48a1-bdd2-d569698191b7,High Tech / Telecom,High Tech,France
ce86013c-2286-4e25-b758-e2b8e2a731da,High Tech / Telecom,High Tech,
70722f9e-66bc-4c23-af4a-4ee017146c06,Media & Publishers,Media & Publishers,France
a53c6f23-fabe-4e8b-bf9f-f3842b097f4e,Travel / Tourism / Transport,Travel,France
bc204219-1286-4d23-98e6-bd71e862d24d,Food / Beverage / Consumer Staples,Beverage,France
d07447ce-101b-4b39-9f26-0c8f82d330ed,High Tech / Telecom,High Tech,
7f225582-248c-448e-a4b9-fe66a538c47b,Services,Services,
a46caf32-3830-418d-8117-481c37eee360,Gaming / Sport,Gaming,Belgium
282c723c-1990-43e7-98e0-6d2d89e90153,Services,Services,United States
770a441c-52b1-4740-b8ba-b35ddbd8ac97,Services,Services,
35ea3084-d9a5-4308-ba86-4757b8b58884,High Tech / Telecom,Telecom,
ad316910-aaf7-4fb7-82eb-c951ab6322a3,High Tech / Telecom,High Tech,France
fd2d4b55-076b-4402-9f9e-3d87aea11fb8,Energy & Environmental / Utilities,Utilities,France
f12deffa-c840-45fe-b41d-785b16a2ed78,High Tech / Telecom,High Tech,Canada
78807a01-2a02-4bda-b12d-93185681051a,Media & Publishers,Media & Publishers,Belgium
5de83ae9-249f-49f9-bee5-499d60b8147e,Services,Services,France
70f656bd-d88d-49c8-9114-e0fe50fe0eb6,Services,Services,France
d55b6722-0dbe-4222-9659-1a4018c1f916,Media & Publishers,Media & Publishers,United Kingdom
be73da09-97a9-4b20-8a5c-f928b038f107,Media & Publishers,Media & Publishers,Belgium
907f0f0d-441e-46b7-a4f3-968230a26343,Food / Beverage / Consumer Staples,Food,France
