EVENT_ID,TYPE,RATE,PARAMETERS,EVENT_TIME,WINDOW_START,APIKEY,CONSENT,COUNT,EXPERIMENT,SDK_TYPE,DOMAIN,DEPLOYMENT_ID,COUNTRY,REGION,BROWSER_FAMILY,DEVICE_TYPE
31caf409-cd91-481a-aaaf-c6653b8d3b56,consent.given,1,"{
  ""action"": ""click"",
  ""created"": ""2025-09-05T05:40:41.173Z"",
  ""from_euconsent"": false,
  ""purposes"": {
    ""disabled"": [],
    ""enabled"": [
      ""cookies"",
      ""measure_content_performance"",
      ""collectsd-aFTzd3yW"",
      ""registers-pmDTmtxQ"",
      ""registers-XyKdN4h6"",
      ""registrati-EdtaCA6M"",
      ""create_ads_profile"",
      ""create_content_profile"",
      ""improve_products"",
      ""market_research"",
      ""measure_ad_performance"",
      ""select_basic_ads"",
      ""select_personalized_ads"",
      ""select_personalized_content"",
      ""distinguis-MQYFAKxf"",
      ""storevisi-trEedGMC"",
      ""containst-caXnfVEE"",
      ""registrati-wZHNP2VN"",
      ""tracksthe-bfiNMhxB""
    ]
  },
  ""purposes_li"": {
    ""disabled"": [],
    ""enabled"": []
  },
  ""updated"": ""2025-09-05T05:40:44.641Z"",
  ""vendors"": {
    ""disabled"": [],
    ""enabled"": [
      ""c:googleana-4TXnJigR"",
      ""c:microsoft-MxWGfBDE"",
      ""c:linkedin-marketing-solutions"",
      ""c:wisepops"",
      ""c:wistia"",
      ""c:g2-HWMdF9FU"",
      ""c:leadfeeder-2pEUL3qr"",
      ""c:actitobe-nmAk7EnL"",
      ""c:didomi""
    ]
  },
  ""vendors_li"": {
    ""disabled"": [],
    ""enabled"": []
  }
}",2025-09-05 05:41:07.346,2025-09-05 05:00:00.000,5f67fa3a-b292-4bd2-b6e0-52257adc3a3b,full opt-in,1,,sdk-web,service2.org,MbMfAWUC,"""FR""","""PAC""",Firefox Mobile,smartphone
1597e0d2-0a26-4ec4-860c-bffe349c2074,consent.given,1,"{
  ""action"": ""click"",
  ""created"": ""2025-09-05T05:04:35.897Z"",
  ""from_euconsent"": false,
  ""purposes"": {
    ""disabled"": [],
    ""enabled"": [
      ""cookies"",
      ""measure_content_performance"",
      ""collectsd-aFTzd3yW"",
      ""registers-pmDTmtxQ"",
      ""registers-XyKdN4h6"",
      ""registrati-EdtaCA6M"",
      ""create_ads_profile"",
      ""create_content_profile"",
      ""improve_products"",
      ""market_research"",
      ""measure_ad_performance"",
      ""select_basic_ads"",
      ""select_personalized_ads"",
      ""select_personalized_content"",
      ""distinguis-MQYFAKxf"",
      ""storevisi-trEedGMC"",
      ""containst-caXnfVEE"",
      ""registrati-wZHNP2VN"",
      ""tracksthe-bfiNMhxB""
    ]
  },
  ""purposes_li"": {
    ""disabled"": [],
    ""enabled"": []
  },
  ""updated"": ""2025-09-05T05:04:39.243Z"",
  ""vendors"": {
    ""disabled"": [],
    ""enabled"": [
      ""c:googleana-4TXnJigR"",
      ""c:microsoft-MxWGfBDE"",
      ""c:linkedin-marketing-solutions"",
      ""c:wisepops"",
      ""c:wistia"",
      ""c:g2-HWMdF9FU"",
      ""c:leadfeeder-2pEUL3qr"",
      ""c:actitobe-nmAk7EnL"",
      ""c:didomi""
    ]
  },
  ""vendors_li"": {
    ""disabled"": [],
    ""enabled"": []
  }
}",2025-09-05 05:04:39.972,2025-09-05 05:00:00.000,5f67fa3a-b292-4bd2-b6e0-52257adc3a3b,full opt-in,1,,sdk-web,service2.org,MbMfAWUC,"""FR""","""PAC""",Chrome,desktop
6ffec2f9-ed87-439f-a968-3880e6bccb35,consent.given,1,"{
  ""action"": ""click"",
  ""created"": ""2025-09-05T06:55:26.886Z"",
  ""from_euconsent"": false,
  ""purposes"": {
    ""disabled"": [],
    ""enabled"": [
      ""cookies"",
      ""measure_content_performance"",
      ""collectsd-aFTzd3yW"",
      ""registers-pmDTmtxQ"",
      ""registers-XyKdN4h6"",
      ""registrati-EdtaCA6M"",
      ""create_ads_profile"",
      ""create_content_profile"",
      ""improve_products"",
      ""market_research"",
      ""measure_ad_performance"",
      ""select_basic_ads"",
      ""select_personalized_ads"",
      ""select_personalized_content"",
      ""distinguis-MQYFAKxf"",
      ""storevisi-trEedGMC"",
      ""containst-caXnfVEE"",
      ""registrati-wZHNP2VN"",
      ""tracksthe-bfiNMhxB""
    ]
  },
  ""purposes_li"": {
    ""disabled"": [],
    ""enabled"": []
  },
  ""updated"": ""2025-09-05T06:55:28.938Z"",
  ""vendors"": {
    ""disabled"": [],
    ""enabled"": [
      ""c:googleana-4TXnJigR"",
      ""c:microsoft-MxWGfBDE"",
      ""c:linkedin-marketing-solutions"",
      ""c:wisepops"",
      ""c:wistia"",
      ""c:g2-HWMdF9FU"",
      ""c:leadfeeder-2pEUL3qr"",
      ""c:actitobe-nmAk7EnL"",
      ""c:didomi""
    ]
  },
  ""vendors_li"": {
    ""disabled"": [],
    ""enabled"": []
  }
}",2025-09-05 06:55:29.094,2025-09-05 06:00:00.000,5f67fa3a-b292-4bd2-b6e0-52257adc3a3b,full opt-in,1,,sdk-web,service2.org,MbMfAWUC,"""FR""","""GES""",Chrome,desktop
ce564dd5-c52a-447f-bc3e-3b9a66dd1b77,consent.given,1,"{
  ""action"": ""click"",
  ""created"": ""2025-08-19T13:22:10.727Z"",
  ""from_euconsent"": false,
  ""purposes"": {
    ""disabled"": [],
    ""enabled"": [
      ""cookies"",
      ""measure_content_performance"",
      ""collectsd-aFTzd3yW"",
      ""registers-pmDTmtxQ"",
      ""registers-XyKdN4h6"",
      ""registrati-EdtaCA6M"",
      ""create_ads_profile"",
      ""create_content_profile"",
      ""improve_products"",
      ""market_research"",
      ""measure_ad_performance"",
      ""select_basic_ads"",
      ""select_personalized_ads"",
      ""select_personalized_content"",
      ""distinguis-MQYFAKxf"",
      ""storevisi-trEedGMC"",
      ""containst-caXnfVEE"",
      ""registrati-wZHNP2VN"",
      ""tracksthe-bfiNMhxB""
    ]
  },
  ""purposes_li"": {
    ""disabled"": [],
    ""enabled"": []
  },
  ""updated"": ""2025-09-05T06:05:22.858Z"",
  ""vendors"": {
    ""disabled"": [],
    ""enabled"": [
      ""c:googleana-4TXnJigR"",
      ""c:microsoft-MxWGfBDE"",
      ""c:linkedin-marketing-solutions"",
      ""c:wisepops"",
      ""c:wistia"",
      ""c:g2-HWMdF9FU"",
      ""c:leadfeeder-2pEUL3qr"",
      ""c:actitobe-nmAk7EnL"",
      ""c:didomi""
    ]
  },
  ""vendors_li"": {
    ""disabled"": [],
    ""enabled"": []
  }
}",2025-09-05 06:05:21.466,2025-09-05 06:00:00.000,5f67fa3a-b292-4bd2-b6e0-52257adc3a3b,full opt-in,1,,sdk-web,service2.org,MbMfAWUC,"""FR""","""PDL""",Chrome,desktop
be213564-7be8-4991-a217-eaf4b3f0e1fd,consent.given,1,"{
  ""action"": ""click"",
  ""created"": ""2025-08-25T10:23:12.531Z"",
  ""from_euconsent"": false,
  ""purposes"": {
    ""disabled"": [
      ""cookies"",
      ""measure_content_performance"",
      ""collectsd-aFTzd3yW"",
      ""registers-pmDTmtxQ"",
      ""registers-XyKdN4h6"",
      ""registrati-EdtaCA6M"",
      ""create_ads_profile"",
      ""create_content_profile"",
      ""improve_products"",
      ""market_research"",
      ""measure_ad_performance"",
      ""select_basic_ads"",
      ""select_personalized_ads"",
      ""select_personalized_content"",
      ""distinguis-MQYFAKxf"",
      ""storevisi-trEedGMC"",
      ""containst-caXnfVEE"",
      ""registrati-wZHNP2VN"",
      ""tracksthe-bfiNMhxB""
    ],
    ""enabled"": []
  },
  ""purposes_li"": {
    ""disabled"": [],
    ""enabled"": []
  },
  ""updated"": ""2025-09-05T07:24:51.755Z"",
  ""vendors"": {
    ""disabled"": [
      ""c:googleana-4TXnJigR"",
      ""c:microsoft-MxWGfBDE"",
      ""c:linkedin-marketing-solutions"",
      ""c:wisepops"",
      ""c:wistia"",
      ""c:g2-HWMdF9FU"",
      ""c:leadfeeder-2pEUL3qr"",
      ""c:actitobe-nmAk7EnL"",
      ""c:didomi""
    ],
    ""enabled"": []
  },
  ""vendors_li"": {
    ""disabled"": [],
    ""enabled"": []
  }
}",2025-09-05 07:26:14.497,2025-09-05 07:00:00.000,5f67fa3a-b292-4bd2-b6e0-52257adc3a3b,opt-out,1,,sdk-web,service2.org,MbMfAWUC,"""FR""","""GES""",Chrome,desktop
11908a7b-74d6-49b0-97bf-ee5d3f9b11d6,pageview,0.03,,2025-09-05 07:26:15.404,2025-09-05 07:00:00.000,5f67fa3a-b292-4bd2-b6e0-52257adc3a3b,empty,33,,sdk-web,service2.org,MbMfAWUC,"""AT""","""BY""",Chrome,desktop
fb1b78f6-7991-4718-a306-0509f9dab100,consent.asked,0.1,"{
  ""position"": ""bottom"",
  ""purposes"": [
    ""cookies"",
    ""measure_content_performance"",
    ""collectsd-aFTzd3yW"",
    ""registers-pmDTmtxQ"",
    ""registers-XyKdN4h6"",
    ""registrati-EdtaCA6M"",
    ""create_ads_profile"",
    ""create_content_profile"",
    ""improve_products"",
    ""market_research"",
    ""measure_ad_performance"",
    ""select_basic_ads"",
    ""select_personalized_ads"",
    ""select_personalized_content"",
    ""distinguis-MQYFAKxf"",
    ""storevisi-trEedGMC"",
    ""containst-caXnfVEE"",
    ""registrati-wZHNP2VN"",
    ""tracksthe-bfiNMhxB""
  ],
  ""purposes_li"": [],
  ""vendors"": [
    ""c:googleana-4TXnJigR"",
    ""c:microsoft-MxWGfBDE"",
    ""c:linkedin-marketing-solutions"",
    ""c:wisepops"",
    ""c:wistia"",
    ""c:g2-HWMdF9FU"",
    ""c:leadfeeder-2pEUL3qr"",
    ""c:actitobe-nmAk7EnL"",
    ""c:didomi""
  ],
  ""vendors_li"": []
}",2025-09-05 07:26:17.326,2025-09-05 07:00:00.000,5f67fa3a-b292-4bd2-b6e0-52257adc3a3b,empty,10,,sdk-web,service2.org,MbMfAWUC,"""AT""","""BY""",Chrome,desktop
42ffd8db-2f73-4b99-a8fa-58b552ff5d24,consent.given,1,"{
  ""action"": ""click"",
  ""created"": ""2025-09-05T08:12:19.187Z"",
  ""from_euconsent"": false,
  ""purposes"": {
    ""disabled"": [],
    ""enabled"": [
      ""cookies"",
      ""measure_content_performance"",
      ""collectsd-aFTzd3yW"",
      ""registers-pmDTmtxQ"",
      ""registers-XyKdN4h6"",
      ""registrati-EdtaCA6M"",
      ""create_ads_profile"",
      ""create_content_profile"",
      ""improve_products"",
      ""market_research"",
      ""measure_ad_performance"",
      ""select_basic_ads"",
      ""select_personalized_ads"",
      ""select_personalized_content"",
      ""distinguis-MQYFAKxf"",
      ""storevisi-trEedGMC"",
      ""containst-caXnfVEE"",
      ""registrati-wZHNP2VN"",
      ""tracksthe-bfiNMhxB""
    ]
  },
  ""purposes_li"": {
    ""disabled"": [],
    ""enabled"": []
  },
  ""updated"": ""2025-09-05T08:12:28.804Z"",
  ""vendors"": {
    ""disabled"": [],
    ""enabled"": [
      ""c:googleana-4TXnJigR"",
      ""c:microsoft-MxWGfBDE"",
      ""c:linkedin-marketing-solutions"",
      ""c:wisepops"",
      ""c:wistia"",
      ""c:g2-HWMdF9FU"",
      ""c:leadfeeder-2pEUL3qr"",
      ""c:actitobe-nmAk7EnL"",
      ""c:didomi""
    ]
  },
  ""vendors_li"": {
    ""disabled"": [],
    ""enabled"": []
  }
}",2025-09-05 08:12:28.902,2025-09-05 08:00:00.000,5f67fa3a-b292-4bd2-b6e0-52257adc3a3b,full opt-in,1,,sdk-web,service2.org,MbMfAWUC,"""FR""","""GES""",Chrome,desktop
de1e914d-43a5-44fb-bd3a-fde7b365279c,consent.given,1,"{
  ""action"": ""click"",
  ""created"": ""2025-09-05T09:51:29.601Z"",
  ""from_euconsent"": false,
  ""purposes"": {
    ""disabled"": [],
    ""enabled"": [
      ""cookies"",
      ""measure_content_performance"",
      ""collectsd-aFTzd3yW"",
      ""registers-pmDTmtxQ"",
      ""registers-XyKdN4h6"",
      ""registrati-EdtaCA6M"",
      ""create_ads_profile"",
      ""create_content_profile"",
      ""improve_products"",
      ""market_research"",
      ""measure_ad_performance"",
      ""select_basic_ads"",
      ""select_personalized_ads"",
      ""select_personalized_content"",
      ""distinguis-MQYFAKxf"",
      ""storevisi-trEedGMC"",
      ""containst-caXnfVEE"",
      ""registrati-wZHNP2VN"",
      ""tracksthe-bfiNMhxB""
    ]
  },
  ""purposes_li"": {
    ""disabled"": [],
    ""enabled"": []
  },
  ""updated"": ""2025-09-05T09:51:32.126Z"",
  ""vendors"": {
    ""disabled"": [],
    ""enabled"": [
      ""c:googleana-4TXnJigR"",
      ""c:microsoft-MxWGfBDE"",
      ""c:linkedin-marketing-solutions"",
      ""c:wisepops"",
      ""c:wistia"",
      ""c:g2-HWMdF9FU"",
      ""c:leadfeeder-2pEUL3qr"",
      ""c:actitobe-nmAk7EnL"",
      ""c:didomi""
    ]
  },
  ""vendors_li"": {
    ""disabled"": [],
    ""enabled"": []
  }
}",2025-09-05 09:51:32.202,2025-09-05 09:00:00.000,5f67fa3a-b292-4bd2-b6e0-52257adc3a3b,full opt-in,1,,sdk-web,service2.org,MbMfAWUC,"""FR""","""HDF""",Chrome,desktop
d4c406ab-7c32-41a4-ac85-faa5b528f02c,consent.given,1,"{
  ""action"": ""click"",
  ""created"": ""2025-09-05T09:56:06.832Z"",
  ""from_euconsent"": false,
  ""purposes"": {
    ""disabled"": [
      ""cookies"",
      ""measure_content_performance"",
      ""collectsd-aFTzd3yW"",
      ""registers-pmDTmtxQ"",
      ""registers-XyKdN4h6"",
      ""registrati-EdtaCA6M"",
      ""create_ads_profile"",
      ""create_content_profile"",
      ""improve_products"",
      ""market_research"",
      ""measure_ad_performance"",
      ""select_basic_ads"",
      ""select_personalized_ads"",
      ""select_personalized_content"",
      ""distinguis-MQYFAKxf"",
      ""storevisi-trEedGMC"",
      ""containst-caXnfVEE"",
      ""registrati-wZHNP2VN"",
      ""tracksthe-bfiNMhxB""
    ],
    ""enabled"": []
  },
  ""purposes_li"": {
    ""disabled"": [],
    ""enabled"": []
  },
  ""updated"": ""2025-09-05T09:56:09.936Z"",
  ""vendors"": {
    ""disabled"": [
      ""c:googleana-4TXnJigR"",
      ""c:microsoft-MxWGfBDE"",
      ""c:linkedin-marketing-solutions"",
      ""c:wisepops"",
      ""c:wistia"",
      ""c:g2-HWMdF9FU"",
      ""c:leadfeeder-2pEUL3qr"",
      ""c:actitobe-nmAk7EnL"",
      ""c:didomi""
    ],
    ""enabled"": []
  },
  ""vendors_li"": {
    ""disabled"": [],
    ""enabled"": []
  }
}",2025-09-05 09:56:10.567,2025-09-05 09:00:00.000,5f67fa3a-b292-4bd2-b6e0-52257adc3a3b,opt-out,1,,sdk-web,service2.org,MbMfAWUC,"""FR""","""NAQ""",Samsung Browser,smartphone
